Ticket_ID,Category,Priority,Channel,Agent,Customer_Type,Time_Open_Hour,Resolution_Time_Hours
1,Account,Low,Phone,Agent_D,New,17,60.9
2,General,Medium,Chat,Agent_B,Returning,4,53.5
3,Billing,High,Chat,Agent_B,New,14,40.5
4,Account,Medium,Phone,Agent_A,New,16,52.7
5,Account,Low,Phone,Agent_A,New,2,65.6
6,General,Medium,Phone,Agent_D,New,11,55.0
7,Billing,High,Chat,Agent_A,Returning,1,41.2
8,Billing,Medium,Phone,Agent_A,New,0,51.0
9,Account,Medium,Phone,Agent_B,New,22,49.6
10,Technical,Low,Email,Agent_C,Returning,20,41.2
11,Account,Medium,Email,Agent_A,Returning,16,49.0
12,Account,High,Chat,Agent_C,New,21,30.2
13,Account,Low,Phone,Agent_A,Returning,15,62.0
14,Account,Medium,Phone,Agent_A,New,4,56.0
15,General,High,Email,Agent_D,New,14,29.2
16,Billing,Medium,Chat,Agent_D,New,2,43.1
17,General,Medium,Email,Agent_D,New,6,43.1
18,General,Medium,Email,Agent_C,Returning,10,41.6
19,General,Medium,Email,Agent_B,New,9,38.9
20,Account,Low,Email,Agent_A,Returning,8,48.9
21,Technical,High,Phone,Agent_A,Returning,13,37.0
22,Billing,High,Phone,Agent_A,Returning,12,42.7
23,Technical,High,Email,Agent_C,Returning,1,31.8
24,General,High,Chat,Agent_D,New,2,38.8
25,General,Medium,Chat,Agent_B,Returning,6,42.2
26,Technical,Medium,Chat,Agent_C,New,20,38.8
27,Technical,Medium,Chat,Agent_D,Returning,17,38.6
28,Technical,Medium,Email,Agent_C,Returning,2,40.4
29,General,Medium,Phone,Agent_B,New,9,53.0
30,General,Medium,Chat,Agent_D,New,21,61.7
31,Billing,High,Email,Agent_C,New,6,27.2
32,Billing,Medium,Chat,Agent_B,Returning,8,48.3
33,General,Medium,Chat,Agent_A,Returning,16,55.8
34,Technical,Low,Email,Agent_B,New,10,63.7
35,Technical,Medium,Phone,Agent_A,New,6,54.3
36,Billing,Low,Phone,Agent_C,New,23,67.0
37,General,Medium,Email,Agent_D,New,13,45.0
38,Billing,Medium,Phone,Agent_D,Returning,18,39.1
39,Billing,Low,Email,Agent_C,New,3,41.8
40,Account,Medium,Email,Agent_D,New,5,44.8
41,Account,Low,Email,Agent_D,New,9,45.7
42,Account,Low,Phone,Agent_A,New,6,48.1
43,Technical,High,Email,Agent_C,Returning,12,35.8
44,General,Medium,Chat,Agent_B,New,13,48.0
45,General,Low,Phone,Agent_A,Returning,3,50.6
46,General,Medium,Phone,Agent_C,New,7,54.1
47,General,Medium,Phone,Agent_A,New,4,47.6
48,Account,Low,Phone,Agent_B,Returning,0,47.0
49,Technical,Medium,Chat,Agent_B,New,3,39.3
50,Technical,Low,Phone,Agent_C,Returning,2,58.6
51,Account,Low,Phone,Agent_B,Returning,8,53.9
52,Technical,Medium,Email,Agent_A,New,7,47.5
53,Account,Medium,Phone,Agent_B,Returning,0,51.6
54,General,Medium,Chat,Agent_A,Returning,5,54.5
55,Account,Medium,Chat,Agent_A,Returning,8,50.4
56,General,High,Chat,Agent_B,Returning,6,28.4
57,General,Medium,Chat,Agent_C,Returning,3,58.6
58,Billing,Medium,Phone,Agent_D,Returning,12,57.8
59,Account,Medium,Phone,Agent_B,Returning,16,46.8
60,Billing,Low,Chat,Agent_A,Returning,1,52.8
61,Account,Medium,Chat,Agent_A,New,4,42.9
62,Account,Low,Phone,Agent_B,New,11,51.4
63,Billing,Low,Chat,Agent_C,Returning,20,51.6
64,Billing,High,Email,Agent_C,New,7,22.8
65,Account,High,Chat,Agent_A,Returning,5,23.8
66,Technical,Medium,Chat,Agent_A,Returning,7,44.2
67,General,Medium,Email,Agent_C,New,17,49.3
68,Billing,Low,Email,Agent_D,Returning,2,58.0
69,General,Low,Phone,Agent_B,Returning,21,55.3
70,Technical,Low,Phone,Agent_A,Returning,11,55.3
71,Technical,Medium,Email,Agent_A,Returning,2,48.0
72,Technical,Medium,Email,Agent_C,New,21,42.8
73,Billing,Medium,Phone,Agent_B,Returning,5,43.7
74,Technical,Low,Chat,Agent_C,Returning,1,55.0
75,Billing,High,Email,Agent_B,Returning,22,31.1
76,Technical,Medium,Phone,Agent_B,New,11,47.7
77,General,Medium,Chat,Agent_B,Returning,1,44.8
78,General,Medium,Email,Agent_A,New,5,43.7
79,Account,Medium,Chat,Agent_D,New,16,47.3
80,General,Low,Phone,Agent_C,Returning,2,58.4
81,Account,Medium,Email,Agent_D,Returning,1,52.6
82,General,Medium,Chat,Agent_C,New,22,46.3
83,Billing,Low,Email,Agent_B,Returning,19,54.6
84,General,Low,Chat,Agent_A,New,7,46.7
85,Account,Low,Phone,Agent_D,New,21,49.2
86,Account,Low,Phone,Agent_A,Returning,11,56.4
87,Technical,High,Email,Agent_C,Returning,3,42.1
88,Billing,Medium,Chat,Agent_A,New,4,47.6
89,General,Medium,Email,Agent_A,New,12,51.5
90,Technical,Low,Email,Agent_D,New,14,56.0
91,General,Medium,Chat,Agent_B,New,22,48.4
92,General,Medium,Chat,Agent_A,Returning,15,55.3
93,Technical,Low,Chat,Agent_B,Returning,9,67.9
94,Technical,Medium,Phone,Agent_C,Returning,22,38.9
95,Technical,Medium,Email,Agent_A,Returning,15,56.0
96,Technical,Medium,Email,Agent_D,Returning,11,54.4
97,Technical,Medium,Phone,Agent_C,New,16,48.4
98,General,Low,Chat,Agent_C,Returning,15,60.5
99,Technical,Medium,Phone,Agent_D,Returning,11,50.1
100,Billing,Medium,Phone,Agent_A,Returning,7,43.7
101,Account,Medium,Phone,Agent_A,Returning,19,41.6
102,Technical,High,Email,Agent_C,Returning,2,28.5
103,Technical,Medium,Phone,Agent_A,New,15,49.4
104,General,Low,Email,Agent_B,New,12,51.6
105,Technical,Low,Email,Agent_D,New,22,62.2
106,Technical,Medium,Email,Agent_B,Returning,18,44.2
107,Technical,Low,Chat,Agent_A,New,7,61.4
108,General,Medium,Email,Agent_C,New,21,62.3
109,Technical,High,Email,Agent_D,Returning,4,38.6
110,Account,Medium,Chat,Agent_A,Returning,19,38.0
111,General,Medium,Email,Agent_A,Returning,7,50.4
112,Account,Medium,Phone,Agent_C,New,23,55.2
113,General,Medium,Phone,Agent_C,New,11,41.0
114,Technical,Medium,Email,Agent_B,Returning,0,48.5
115,Account,High,Chat,Agent_D,Returning,20,34.2
116,General,Medium,Phone,Agent_D,New,19,52.6
117,Billing,High,Chat,Agent_C,New,5,40.6
118,Technical,High,Chat,Agent_B,Returning,21,31.6
119,General,Low,Phone,Agent_D,Returning,17,51.7
120,Billing,Low,Chat,Agent_C,New,7,55.5
121,General,Low,Phone,Agent_A,Returning,6,56.5
122,Billing,Low,Chat,Agent_D,New,0,61.4
123,Technical,Low,Phone,Agent_B,New,20,49.2
